Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Team,Year
1,2020-07-24,boxscore,ARI,@,SDP,L,2,7,,0-1,3,1.5,Paddack,Bumgarner,,3:05,N,,1.16,-,,ARI,2020
2,2020-07-25,boxscore,ARI,@,SDP,L,1,5,,0-2,5,2.0,Lamet,Ray,,3:18,N,,1.17,--,,ARI,2020
3,2020-07-26,boxscore,ARI,@,SDP,W,4,3,,1-2,5,1.0,Bradley,Yates,,3:44,D,,1.16,+,,ARI,2020
4,2020-07-27,boxscore,ARI,@,SDP,L,2,6,,1-3,5,2.0,Quantrill,Weaver,,3:03,D,,1.21,-,,ARI,2020
5,2020-07-28,boxscore,ARI,@,TEX,W,4,1,,2-3,4,2.0,Kelly,Gibson,Bradley,3:10,N,,1.06,+,,ARI,2020
6,2020-07-29,boxscore,ARI,@,TEX,L,4,7,,2-4,5,2.5,HernÃ¡ndez,Chafin,Goody,3:27,D,,1.08,-,,ARI,2020
7,2020-07-30,boxscore,ARI,,LAD,L,3,6,,2-5,5,3.0,Stripling,Ray,BÃ¡ez,3:19,N,,1.17,--,,ARI,2020
8,2020-07-31,boxscore,ARI,,LAD,W,5,3,,3-5,5,3.0,RondÃ³n,Treinen,Bradley,3:15,N,,1.11,+,,ARI,2020
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,ARI,2020
9,2020-08-01,boxscore,ARI,,LAD,L,2,11,,3-6,5,3.0,UrÃ­as,Weaver,,2:49,N,,1.17,-,,ARI,2020
10,2020-08-02,boxscore,ARI,,LAD,L,0,3,,3-7,5,4.0,Kershaw,Kelly,Jansen,2:56,D,,1.09,--,,ARI,2020
11,2020-08-04,boxscore,ARI,,HOU,L,2,8,,3-8,5,5.5,Javier,Bumgarner,,3:09,N,,.94,---,,ARI,2020
12,2020-08-05,boxscore,ARI,,HOU,W,14,7,,4-8,5,4.5,Ray,McCullers,,3:14,N,,.88,+,,ARI,2020
13,2020-08-06,boxscore,ARI,,HOU,W,5,4,,5-8,5,4.5,Guerra,Pressly,,3:15,D,,.93,++,,ARI,2020
14,2020-08-07,boxscore,ARI,@,SDP,L,0,3,,5-9,5,5.5,Davies,Weaver,Yates,2:27,N,,1.11,-,,ARI,2020
15,2020-08-08,boxscore,ARI,@,SDP,W,3,2,,6-9,5,5.5,Kelly,Paddack,Bradley,2:51,N,,1.04,+,,ARI,2020
16,2020-08-09,boxscore,ARI,@,SDP,L,5,9,,6-10,5,5.5,Lamet,Bumgarner,,2:59,D,,1.15,-,,ARI,2020
17,2020-08-10,boxscore,ARI,@,COL,W,12,8,,7-10,4,4.5,Young,Gray,Bradley,3:43,N,,1.03,+,,ARI,2020
18,2020-08-11,boxscore,ARI,@,COL,L,7,8,,7-11,5,5.5,EstÃ©vez,Ginkel,Bard,3:16,N,,1.17,-,,ARI,2020
19,2020-08-12,boxscore,ARI,@,COL,W,13,7,,8-11,4,4.5,Chafin,Kinley,,3:56,D,,1.08,+,,ARI,2020
20,2020-08-14,boxscore,ARI,,SDP,W,5,1,,9-11,4,4.5,Kelly,Lamet,,3:03,N,,1.25,++,,ARI,2020
21,2020-08-15,boxscore,ARI,,SDP,W,7,6,,10-11,4,4.5,Crichton,Johnson,Bradley,3:23,N,,1.32,+++,,ARI,2020
22,2020-08-16,boxscore,ARI,,SDP,W,5,4,,11-11,3,4.5,Clarke,PagÃ¡n,Bradley,3:13,D,,1.42,++++,,ARI,2020
23,2020-08-17,boxscore,ARI,,OAK,W,4,3,,12-11,3,4.5,Crichton,Soria,,3:06,N,,1.26,+++++,,ARI,2020
24,2020-08-18,boxscore,ARI,,OAK,W,10,1,,13-11,3,4.5,Weaver,Montas,,3:04,D,,1.28,++++++,,ARI,2020
25,2020-08-19,boxscore,ARI,@,OAK,L,1,4,,13-12,4,4.5,Luzardo,Kelly,Hendriks,2:57,N,,1.30,-,,ARI,2020
26,2020-08-20,boxscore,ARI,@,OAK,L,1,5,,13-13,4,5.5,Manaea,Young,,2:49,N,,1.29,--,,ARI,2020
27,2020-08-21,boxscore,ARI,@,SFG,L,2,6,,13-14,4,6.5,Webb,Ray,,2:58,N,,1.43,---,,ARI,2020
28,2020-08-22,boxscore,ARI,@,SFG,L,1,5,,13-15,4,7.5,Anderson,Grace,,2:43,N,,1.43,----,,ARI,2020
29,2020-08-23,boxscore,ARI,@,SFG,L,1,6,,13-16,5,8.5,Baragar,Weaver,,2:52,D,,1.41,-----,,ARI,2020
30,2020-08-24,boxscore,ARI,,COL,L,2,3,,13-17,5,9.0,Castellani,Widener,Bard,3:19,N,,1.32,------,,ARI,2020
31,2020-08-25,boxscore,ARI,,COL,L,4,5,,13-18,5,9.0,DÃ­az,Crichton,Bard,3:52,N,,1.22,-------,,ARI,2020
32,2020-08-26,boxscore,ARI,,COL,L,7,8,,13-19,5,9.5,Gray,Ray,Hoffman,3:43,N,,1.09,--------,,ARI,2020
33,2020-08-28,boxscore,ARI,,SFG,W,7,4,,14-19,5,9.5,Gallen,Anderson,,2:49,N,,.92,+,,ARI,2020
34,2020-08-29,boxscore,ARI,,SFG,L,2,5,,14-20,5,10.5,GarcÃ­a,Weaver,Rogers,3:12,N,,1.04,-,,ARI,2020
35,2020-08-30,boxscore,ARI,,SFG,L,1,4,,14-21,5,11.5,Watson,Crichton,Coonrod,2:55,D,,.90,--,,ARI,2020
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,ARI,2020
36,2020-09-01,boxscore,ARI,@,LAD,L,3,6,,14-22,5,12.5,UrÃ­as,Young,Jansen,2:46,N,,.71,---,,ARI,2020
37,2020-09-02,boxscore,ARI,@,LAD,L,2,3,10,14-23,5,13.5,Jansen,Guerra,,3:11,N,,.55,----,,ARI,2020
38,2020-09-03,boxscore,ARI,@,LAD,L,1,5,,14-24,5,14.5,Kershaw,Weaver,,2:58,N,,.44,-----,,ARI,2020
39,2020-09-04,boxscore,ARI,@,SFG,W,6,5,,15-24,5,14.5,Bergen,Anderson,Ginkel,3:32,N,,.35,+,,ARI,2020
40,2020-09-05,boxscore,ARI,@,SFG,L,3,4,,15-25,5,14.5,Baragar,Bumgarner,Watson,3:06,N,,.54,-,,ARI,2020
41,2020-09-06,boxscore,ARI,@,SFG,L,2,4,,15-26,5,14.5,Baragar,Young,Rogers,2:52,D,,.31,--,,ARI,2020
42,2020-09-07,boxscore,ARI,@,SFG,L,2,4,,15-27,5,15.0,Gausman,Gallen,Coonrod,2:56,N,,.18,---,,ARI,2020
43,2020-09-08,boxscore,ARI,,LAD,L,9,10,10,15-28,5,16.0,Jansen,LÃ³pez,,4:25,N,,.08,----,,ARI,2020
44,2020-09-09,boxscore,ARI,,LAD,L,4,6,10,15-29,5,17.0,McGee,Ginkel,Treinen,3:20,N,,.03,-----,,ARI,2020
45,2020-09-10,boxscore,ARI,,LAD,W,5,2,,16-29,5,16.0,Smith,Gonsolin,Bergen,3:31,N,,.01,+,,ARI,2020
46,2020-09-11,boxscore,ARI,,SEA,W,4,3,,17-29,5,15.5,Young,Kikuchi,Crichton,2:32,N,,.02,++,,ARI,2020
47,2020-09-12,boxscore,ARI,,SEA,L,3,7,,17-30,5,15.5,Sheffield,Gallen,,2:45,N,,.02,-,,ARI,2020
48,2020-09-13,boxscore,ARI,,SEA,L,3,7,,17-31,5,16.5,Sadler,Weaver,,3:32,D,,.02,--,,ARI,2020
49,2020-09-15,boxscore,ARI,@,LAA,W,9,8,,18-31,5,16.0,Mella,Andriese,Crichton,3:06,N,,.00,+,,ARI,2020
50,2020-09-16,boxscore,ARI,@,LAA,W,9,6,,19-31,5,16.0,Clarke,Bundy,Crichton,3:10,N,,.01,++,,ARI,2020
51,2020-09-17,boxscore,ARI,@,LAA,L,3,7,,19-32,5,17.0,Canning,Young,,3:07,D,,.01,-,,ARI,2020
52,2020-09-18,boxscore,ARI,@,HOU,W,6,3,,20-32,5,17.0,Gallen,Garcia,Crichton,3:08,N,,.00,+,,ARI,2020
53,2020-09-19,boxscore,ARI,@,HOU,L,2,3,,20-33,5,18.0,Paredes,Weaver,Pressly,2:37,N,,.00,-,,ARI,2020
54,2020-09-20,boxscore,ARI,@,HOU,L,2,3,,20-34,5,18.0,Taylor,Guerra,Pressly,3:04,D,,.00,--,,ARI,2020
55,2020-09-22,boxscore,ARI,,TEX,W,7,0,,21-34,5,18.0,Smith,Lyles,,2:56,N,,.00,+,,ARI,2020
56,2020-09-23,boxscore,ARI,,TEX,W,7,3,,22-34,5,17.0,Mella,Goody,,2:57,D,,.00,++,,ARI,2020
57,,boxscore,ARI,,COL,W,4,0,7,23-34,5,17.0,Gallen,Senzatela,Crichton,2:36,D,,.00,+++,2020-08-27 (Boycott (racial justice); (Game2)),ARI,2020
58,,boxscore,ARI,,COL,W,11,5,7,24-34,5,17.0,Clarke,Santos,,2:58,N,,.00,++++,,ARI,2020
59,2020-09-26,boxscore,ARI,,COL,L,3,10,,24-35,5,18.0,MÃ¡rquez,Weaver,,3:03,N,,.00,-,,ARI,2020
60,2020-09-27,boxscore,ARI,,COL,W,11,3,,25-35,5,18.0,Bumgarner,Freeland,,2:54,D,,.00,+,,ARI,2020
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,ARI,2020
1,2021-04-01,boxscore,ARI,@,SDP,L,7,8,,0-1,3,1.0,PagÃ¡n,Young,Melancon,3:26,D,10350,1.09,-,,ARI,2021
2,2021-04-02,boxscore,ARI,@,SDP,L,2,4,,0-2,5,2.0,PagÃ¡n,Kelly,Melancon,3:53,N,10350,1.04,--,,ARI,2021
3,2021-04-03,boxscore,ARI,@,SDP,L,0,7,,0-3,5,3.0,Musgrove,Smith,Weathers,2:58,N,10350,.95,---,,ARI,2021
4,2021-04-04,boxscore,ARI,@,SDP,W,3,1,,1-3,4,2.0,Widener,Paddack,Devenski,3:19,D,10350,.94,+,,ARI,2021
5,2021-04-06,boxscore,ARI,@,COL,W,10,8,13,2-3,3,2.5,Peacock,Bowden,,4:29,N,10240,.93,++,,ARI,2021
6,2021-04-07,boxscore,ARI,@,COL,L,0,8,,2-4,4,2.5,Senzatela,Bumgarner,,2:57,N,12894,.97,-,,ARI,2021
7,2021-04-08,boxscore,ARI,@,COL,L,3,7,,2-5,5,3.0,Gray,Kelly,Bard,2:51,D,10836,1.00,--,,ARI,2021
8,2021-04-09,boxscore,ARI,,CIN,L,5,6,10,2-6,5,4.0,PÃ©rez,Young,Garrett,3:47,N,19385,.85,---,,ARI,2021
9,2021-04-10,boxscore,ARI,,CIN,W,8,3,,3-6,4,4.0,Smith,Hoffman,,3:09,N,13208,.77,+,,ARI,2021
10,2021-04-11,boxscore,ARI,,CIN,W,7,0,,4-6,4,4.0,Weaver,De LeÃ³n,,2:39,D,10981,.79,++,,ARI,2021
11,2021-04-12,boxscore,ARI,,OAK,L,5,9,,4-7,4,4.5,Bassitt,Bumgarner,,3:29,N,8768,.78,-,,ARI,2021
12,2021-04-13,boxscore,ARI,,OAK,L,5,7,,4-8,4,5.5,Petit,Swarzak,Trivino,3:39,D,7010,.72,--,,ARI,2021
13,2021-04-15,boxscore,ARI,@,WSN,W,11,6,,5-8,4,6.0,Kelly,Corbin,,3:26,N,6666,.73,+,,ARI,2021
14,2021-04-16,boxscore,ARI,@,WSN,L,0,1,,5-9,4,7.0,Hand,Young,,2:54,N,8056,.76,-,,ARI,2021
15,2021-04-17,boxscore,ARI,@,WSN,L,2,6,,5-10,4,8.0,Fedde,Weaver,,3:23,D,8305,.74,--,,ARI,2021
16,2021-04-18,boxscore,ARI,@,WSN,W,5,2,,6-10,4,7.0,Bumgarner,Espino,Crichton,3:20,D,8478,.67,+,,ARI,2021
17,2021-04-20,boxscore,ARI,@,CIN,W,5,4,,7-10,4,6.5,Bukauskas,Garrett,Crichton,3:20,N,8085,.72,++,,ARI,2021
18,2021-04-21,boxscore,ARI,@,CIN,W,8,5,10,8-10,4,6.0,Clarke,PÃ©rez,,3:40,N,8025,.78,+++,,ARI,2021
19,2021-04-22,boxscore,ARI,@,CIN,W,14,11,10,9-10,4,5.0,Smith,Sims,,4:26,D,7549,.82,++++,,ARI,2021
20,2021-04-23,boxscore,ARI,@,ATL,L,4,5,,9-11,4,5.0,Ynoa,Weaver,Smith,2:47,N,19258,.92,-,,ARI,2021
21,,boxscore,ARI,@,ATL,W,5,0,7,10-11,4,4.0,Gallen,Wilson,,2:10,D,,.84,+,2021-04-24 (Rain),ARI,2021
22,,boxscore,ARI,@,ATL,W,7,0,7,11-11,4,4.0,Bumgarner,Smyly,,2:11,N,20693,.87,++,,ARI,2021
23,2021-04-27,boxscore,ARI,,SDP,W,5,1,,12-11,3,2.5,Kelly,Paddack,,2:53,N,10486,1.01,+++,,ARI,2021
24,2021-04-28,boxscore,ARI,,SDP,L,3,12,,12-12,4,3.5,Northcraft,Smith,,3:05,N,9495,1.12,-,,ARI,2021
25,2021-04-29,boxscore,ARI,,COL,W,5,3,,13-12,4,3.0,Smith,Stephenson,Crichton,3:01,N,6843,1.00,+,,ARI,2021
26,2021-04-30,boxscore,ARI,,COL,W,7,2,,14-12,4,2.0,Bumgarner,Gray,,2:58,N,13184,1.05,++,,ARI,2021
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,ARI,2021
27,2021-05-01,boxscore,ARI,,COL,L,6,14,,14-13,4,2.0,Gomber,Gallen,,3:41,N,15734,1.11,-,,ARI,2021
28,2021-05-02,boxscore,ARI,,COL,W,8,4,,15-13,4,2.0,Devenski,Bard,,3:29,D,11395,1.07,+,,ARI,2021
29,2021-05-04,boxscore,ARI,@,MIA,L,3,9,,15-14,4,2.5,Bleier,Ginkel,,3:17,N,3898,1.05,-,,ARI,2021
30,2021-05-05,boxscore,ARI,@,MIA,L,0,8,,15-15,4,2.5,Holloway,Weaver,,2:57,N,3573,1.04,--,,ARI,2021
31,2021-05-06,boxscore,ARI,@,MIA,L,1,3,,15-16,4,3.0,Floro,Bukauskas,GarcÃ­a,2:44,N,4049,1.02,---,,ARI,2021
32,2021-05-07,boxscore,ARI,@,NYM,L,4,5,10,15-17,4,4.0,Loup,Crichton,,3:52,N,7662,.99,----,,ARI,2021
33,2021-05-08,boxscore,ARI,@,NYM,L,2,4,,15-18,4,5.0,Lucchesi,Kelly,May,3:30,N,7908,.94,-----,,ARI,2021
34,2021-05-09,boxscore,ARI,@,NYM,L,2,4,,15-19,4,5.0,deGrom,Smith,DÃ­az,3:27,D,7880,.90,------,,ARI,2021
35,2021-05-10,boxscore,ARI,,MIA,W,5,2,,16-19,4,5.0,Weaver,Holloway,Crichton,2:47,N,6307,.81,+,,ARI,2021
36,2021-05-11,boxscore,ARI,,MIA,W,11,3,,17-19,4,5.0,Bumgarner,LÃ³pez,,3:02,N,5560,.89,++,,ARI,2021
37,2021-05-12,boxscore,ARI,,MIA,L,2,3,,17-20,4,5.5,Poteet,Peacock,GarcÃ­a,2:41,N,5714,.91,-,,ARI,2021
38,2021-05-13,boxscore,ARI,,MIA,L,1,5,,17-21,4,6.5,Rogers,Kelly,,2:55,N,5967,.81,--,,ARI,2021
39,2021-05-14,boxscore,ARI,,WSN,L,2,17,,17-22,4,6.5,Scherzer,Smith,,3:14,N,11907,.75,---,,ARI,2021
40,2021-05-15,boxscore,ARI,,WSN,W,11,4,,18-22,4,5.5,Young,Ross,,3:27,N,13462,.68,+,,ARI,2021
41,2021-05-16,boxscore,ARI,,WSN,L,0,3,,18-23,4,6.5,Fedde,Crichton,Hand,2:49,D,11619,.76,-,,ARI,2021
42,2021-05-17,boxscore,ARI,@,LAD,L,1,3,,18-24,4,7.5,Buehler,Bumgarner,Jansen,3:05,N,14088,.76,--,,ARI,2021
43,2021-05-18,boxscore,ARI,@,LAD,L,1,9,,18-25,4,8.5,UrÃ­as,Martin,,2:50,N,15313,.70,---,,ARI,2021
44,2021-05-19,boxscore,ARI,@,LAD,L,2,4,,18-26,4,9.5,Kelly,Mantiply,Jansen,2:56,N,15586,.61,----,,ARI,2021
45,2021-05-20,boxscore,ARI,@,LAD,L,2,3,,18-27,4,10.5,GonzÃ¡lez,Kelly,Jansen,2:54,N,16105,.51,-----,,ARI,2021
46,2021-05-21,boxscore,ARI,@,COL,L,1,7,,18-28,4,10.5,MÃ¡rquez,Frankoff,,2:45,N,18158,.39,------,,ARI,2021
47,2021-05-22,boxscore,ARI,@,COL,L,6,7,,18-29,4,11.5,Kinley,Bumgarner,Bard,3:19,D,20183,.34,-------,,ARI,2021
48,2021-05-23,boxscore,ARI,@,COL,L,3,4,,18-30,5,12.5,Bard,Crichton,,3:20,D,19221,.30,--------,,ARI,2021
49,2021-05-25,boxscore,ARI,,SFG,L,0,8,,18-31,5,13.0,Gausman,Martin,,3:16,N,10311,.26,---------,,ARI,2021
50,2021-05-26,boxscore,ARI,,SFG,L,4,5,,18-32,5,14.0,Tropeano,Young,Rogers,3:03,N,8597,.22,----------,,ARI,2021
51,2021-05-27,boxscore,ARI,,STL,L,4,5,10,18-33,5,14.0,Reyes,Crichton,Ponce de Leon,3:28,N,8951,.16,-----------,,ARI,2021
52,2021-05-28,boxscore,ARI,,STL,L,6,8,,18-34,5,15.0,Woodford,Bumgarner,Ponce de Leon,3:28,N,11581,.13,------------,,ARI,2021
53,2021-05-29,boxscore,ARI,,STL,L,4,7,,18-35,5,16.0,Wainwright,Frankoff,Reyes,3:24,N,17834,.11,-------------,,ARI,2021
54,2021-05-30,boxscore,ARI,,STL,W,9,2,,19-35,5,15.0,Peacock,Kim,Smith,2:59,D,16681,.08,+,,ARI,2021
55,2021-05-31,boxscore,ARI,,NYM,L,2,6,,19-36,5,15.5,deGrom,Kelly,,2:58,N,11309,.10,-,,ARI,2021
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,ARI,2021
56,2021-06-01,boxscore,ARI,,NYM,W,6,5,10,20-36,5,14.5,Young,May,,3:27,N,9590,.08,+,,ARI,2021
57,2021-06-02,boxscore,ARI,,NYM,L,6,7,,20-37,5,15.0,Castro,Soria,DÃ­az,3:12,D,9810,.09,-,,ARI,2021
58,2021-06-03,boxscore,ARI,@,MIL,L,4,7,,20-38,5,16.0,Suter,Duplantier,Hader,3:09,N,12392,.08,--,,ARI,2021
59,2021-06-04,boxscore,ARI,@,MIL,L,1,5,,20-39,5,17.0,Peralta,Peacock,,2:40,N,15261,.06,---,,ARI,2021
60,2021-06-05,boxscore,ARI,@,MIL,L,5,7,,20-40,5,18.0,Williams,Soria,Hader,3:12,D,20073,.04,----,,ARI,2021
61,2021-06-06,boxscore,ARI,@,MIL,L,0,2,,20-41,5,18.0,Burnes,Smith,Boxberger,3:04,D,20117,.04,-----,,ARI,2021
62,2021-06-08,boxscore,ARI,@,OAK,L,2,5,,20-42,5,19.0,Bassitt,Duplantier,Trivino,2:44,N,3695,.04,------,,ARI,2021
63,2021-06-09,boxscore,ARI,@,OAK,L,0,4,,20-43,5,19.0,Manaea,Peacock,,2:59,D,4090,.03,-------,,ARI,2021
64,2021-06-11,boxscore,ARI,,LAA,L,5,6,10,20-44,5,20.0,Iglesias,Buchter,Claudio,4:09,N,18458,.02,--------,,ARI,2021
65,2021-06-12,boxscore,ARI,,LAA,L,7,8,,20-45,5,20.5,Claudio,Soria,Iglesias,3:23,D,13863,.01,---------,,ARI,2021
66,2021-06-13,boxscore,ARI,,LAA,L,3,10,,20-46,5,20.5,Sandoval,Duplantier,,3:05,D,12768,.01,----------,,ARI,2021
67,2021-06-14,boxscore,ARI,@,SFG,L,2,5,,20-47,5,21.5,Wood,Peacock,McGee,2:59,N,9906,.01,-----------,,ARI,2021
68,2021-06-15,boxscore,ARI,@,SFG,L,8,9,,20-48,5,22.5,Sherfy,Castellanos,Rogers,3:03,N,9867,.00,------------,,ARI,2021
69,2021-06-16,boxscore,ARI,@,SFG,L,7,13,,20-49,5,23.5,DeSclafani,Kelly,,3:36,N,11004,.00,-------------,,ARI,2021
70,2021-06-17,boxscore,ARI,@,SFG,L,3,10,,20-50,5,24.5,Gausman,Gallen,,2:54,D,13144,.00,--------------,,ARI,2021
71,2021-06-18,boxscore,ARI,,LAD,L,0,3,,20-51,5,25.5,Bauer,Mantiply,Jansen,3:09,N,25356,.00,---------------,,ARI,2021
72,2021-06-19,boxscore,ARI,,LAD,L,3,9,,20-52,5,25.5,Buehler,Peacock,,3:06,N,29904,.00,----------------,,ARI,2021
73,2021-06-20,boxscore,ARI,,LAD,L,8,9,,20-53,5,26.5,Cleavinger,Young,Jansen,3:39,D,31661,.00,-----------------,,ARI,2021
74,2021-06-21,boxscore,ARI,,MIL,W,5,1,,21-53,5,26.0,Kelly,Anderson,,2:55,N,9804,.00,+,,ARI,2021
75,2021-06-22,boxscore,ARI,,MIL,L,0,5,,21-54,5,27.0,Peralta,Gallen,,3:13,N,9358,.00,-,,ARI,2021
76,2021-06-23,boxscore,ARI,,MIL,L,2,3,,21-55,5,28.0,Woodruff,Smith,Hader,3:28,D,8676,.00,--,,ARI,2021
77,2021-06-25,boxscore,ARI,@,SDP,L,5,11,,21-56,5,29.0,Ramirez,Martin,,3:31,N,32583,.00,---,,ARI,2021
78,2021-06-26,boxscore,ARI,@,SDP,W,10,1,,22-56,5,29.0,Kelly,Lamet,,3:35,N,40557,.00,+,,ARI,2021
79,2021-06-27,boxscore,ARI,@,SDP,L,4,5,,22-57,5,29.0,Hill,Peacock,Melancon,3:27,D,34905,.00,-,,ARI,2021
80,2021-06-28,boxscore,ARI,@,STL,L,1,7,,22-58,5,29.0,Gallegos,Young,,3:33,N,27175,.00,--,,ARI,2021
81,2021-06-29,boxscore,ARI,@,STL,L,2,3,,22-59,5,29.0,MartÃ­nez,Smith,Reyes,3:11,N,28740,.00,---,,ARI,2021
82,2021-06-30,boxscore,ARI,@,STL,L,4,7,,22-60,5,29.5,Kim,Smith,Reyes,3:20,D,27235,.00,----,,ARI,2021
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,ARI,2021
83,2021-07-01,boxscore,ARI,,SFG,W,5,3,,23-60,5,28.5,Kelly,Cueto,Soria,2:37,N,9172,.00,+,,ARI,2021
84,2021-07-02,boxscore,ARI,,SFG,L,4,11,,23-61,5,29.5,Wood,Gallen,,3:40,N,12262,.00,-,,ARI,2021
85,2021-07-03,boxscore,ARI,,SFG,L,5,6,,23-62,5,30.5,Leone,Buchter,McGee,3:47,N,23689,.00,--,,ARI,2021
86,2021-07-04,boxscore,ARI,,SFG,L,2,5,,23-63,5,31.5,DeSclafani,Smith,Rogers,2:43,N,27032,.00,---,,ARI,2021
87,2021-07-06,boxscore,ARI,,COL,W,4,3,,24-63,5,30.0,Soria,Bard,,3:17,N,6847,.00,+,,ARI,2021
88,2021-07-07,boxscore,ARI,,COL,W,6,4,,25-63,5,30.0,Peacock,Senzatela,Soria,3:02,N,7852,.00,++,,ARI,2021
89,2021-07-08,boxscore,ARI,,COL,L,3,9,,25-64,5,30.5,GonzÃ¡lez,Weems,,3:23,D,7740,.00,-,,ARI,2021
90,2021-07-09,boxscore,ARI,@,LAD,W,5,2,,26-64,5,30.5,de Geus,NÃºÃ±ez,Soria,3:34,N,49215,.00,+,,ARI,2021
91,2021-07-10,boxscore,ARI,@,LAD,L,1,22,,26-65,5,31.5,Buehler,Smith,,3:19,N,44654,.00,-,,ARI,2021
92,2021-07-11,boxscore,ARI,@,LAD,L,4,7,,26-66,5,32.5,Jansen,Bukauskas,,3:40,D,40464,.00,--,,ARI,2021
93,2021-07-16,boxscore,ARI,,CHC,L,1,5,,26-67,5,33.5,Hendricks,Bumgarner,,3:09,N,22046,.00,---,,ARI,2021
94,2021-07-17,boxscore,ARI,,CHC,L,2,4,,26-68,5,33.5,Brothers,Soria,Kimbrel,3:15,D,20180,.00,----,,ARI,2021
95,2021-07-18,boxscore,ARI,,CHC,W,6,4,,27-68,5,32.5,Kelly,Winkler,Soria,3:09,D,21457,.00,+,,ARI,2021
96,2021-07-19,boxscore,ARI,,PIT,W,4,2,,28-68,5,32.5,Smith,De Jong,Soria,3:25,N,9173,.00,++,,ARI,2021
97,2021-07-20,boxscore,ARI,,PIT,W,11,6,,29-68,5,31.5,Bukauskas,Davis,,3:11,N,7283,.00,+++,,ARI,2021
98,2021-07-21,boxscore,ARI,,PIT,W,6,4,,30-68,5,31.5,de Geus,Underwood,Soria,3:24,D,7863,.00,++++,,ARI,2021
99,2021-07-23,boxscore,ARI,@,CHC,L,3,8,,30-69,5,32.0,Davies,Gallen,Thompson,3:11,D,34059,.00,-,,ARI,2021
100,2021-07-24,boxscore,ARI,@,CHC,W,7,3,,31-69,5,31.0,Kelly,Chafin,,3:15,D,37190,.00,+,,ARI,2021
101,2021-07-25,boxscore,ARI,@,CHC,L,1,5,,31-70,5,32.0,Williams,Smith,Kimbrel,3:13,D,32602,.00,-,,ARI,2021
102,2021-07-27,boxscore,ARI,@,TEX,L,4,5,,31-71,5,33.0,Dunning,Widener,Kennedy,3:08,N,27336,.00,--,,ARI,2021
103,2021-07-28,boxscore,ARI,@,TEX,W,3,2,,32-71,5,32.0,Bumgarner,Martin,Clippard,2:42,N,26607,.00,+,,ARI,2021
104,2021-07-30,boxscore,ARI,,LAD,W,6,5,10,33-71,5,31.5,Peacock,Nelson,,4:33,N,20780,.00,++,,ARI,2021
105,2021-07-31,boxscore,ARI,,LAD,L,3,8,,33-72,5,32.5,Vesia,Kelly,,3:33,N,23814,.00,-,,ARI,2021
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,ARI,2021
106,2021-08-01,boxscore,ARI,,LAD,L,0,13,,33-73,5,33.5,UrÃ­as,Smith,,3:13,D,17195,.00,--,,ARI,2021
107,2021-08-02,boxscore,ARI,,SFG,L,8,11,10,33-74,5,34.5,GarcÃ­a,Aguilar,,4:04,N,8904,.00,---,,ARI,2021
108,2021-08-03,boxscore,ARI,,SFG,W,3,1,,34-74,5,33.5,Bumgarner,Cueto,Clippard,3:10,N,8809,.00,+,,ARI,2021
109,2021-08-04,boxscore,ARI,,SFG,L,1,7,,34-75,5,34.5,Gausman,Gallen,,3:31,N,8091,.00,-,,ARI,2021
110,2021-08-05,boxscore,ARI,,SFG,L,4,5,10,34-76,5,35.5,Rogers,Gilbert,McGee,3:40,D,8773,.00,--,,ARI,2021
111,2021-08-06,boxscore,ARI,@,SDP,W,8,5,,35-76,5,34.5,Peacock,Weathers,Poppen,3:09,N,34038,.00,+,,ARI,2021
112,2021-08-07,boxscore,ARI,@,SDP,L,2,6,,35-77,5,35.5,Pomeranz,de Geus,,3:18,N,39134,.00,-,,ARI,2021
113,2021-08-08,boxscore,ARI,@,SDP,L,0,2,,35-78,5,36.5,Snell,Bumgarner,Melancon,2:43,D,30989,.00,--,,ARI,2021
114,2021-08-10,boxscore,ARI,@,SFG,L,7,8,,35-79,5,37.5,Littell,Peacock,,3:10,N,23802,.00,---,,ARI,2021
115,2021-08-11,boxscore,ARI,@,SFG,L,2,7,,35-80,5,38.5,Gausman,Kelly,,3:14,N,20037,.00,----,,ARI,2021
